City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Amberieu-En-Bugey,FR,45.9589,5.3432,54.46,90,52,2.98,broken clouds
238,U Thong,TH,14.3751,99.8923,77.56,69,96,6.15,overcast clouds
239,Nanortalik,GL,60.1432,-45.2371,35.96,82,100,2.04,overcast clouds
240,Mount Isa,AU,-20.7333,139.5,83.97,28,17,5.75,few clouds
241,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,14.97,light rain
242,Prainha,BR,-1.8,-53.48,74.84,98,95,3.98,overcast clouds
243,Catamarca,AR,-28.4696,-65.7852,69.78,71,80,6.91,broken clouds
244,Porosozero,RU,62.7191,32.727,26.76,97,99,2.3,overcast clouds
245,Palmer,US,42.1584,-72.3287,71.2,43,75,14.97,broken clouds
246,Kichera,RU,55.9375,110.0997,21.79,85,99,2.75,overcast clouds
247,Sayyan,YE,15.1718,44.3244,58.89,35,1,2.42,clear sky
248,Sapa,PH,5.1544,120.3241,79.39,81,79,1.66,broken clouds
249,Kahului,US,20.8947,-156.47,86.02,48,40,19.57,scattered clouds
250,Victoria,HK,22.2855,114.1577,76.17,80,8,8.99,clear sky
251,Batemans Bay,AU,-35.7167,150.1833,64.09,65,0,3.36,clear sky
252,Tautira,PF,-17.7333,-149.15,81.37,75,34,19.15,light rain
253,Ketchikan,US,55.3422,-131.6461,41.47,24,0,3.44,clear sky
254,Roald,NO,62.5833,6.1333,42.33,81,56,16.11,broken clouds
255,Neiafu,TO,-18.65,-173.9833,83.08,74,20,5.75,few clouds
256,Norfolk,US,42.1668,-71.2495,69.78,56,0,10.36,clear sky
257,Linqiong,CN,30.4159,103.4609,60.62,95,100,4.36,overcast clouds
258,Margate,GB,51.3813,1.3862,51.87,80,1,1.99,clear sky
259,Ostrovnoy,RU,68.0531,39.5131,12.45,97,96,6.93,overcast clouds
260,Natal,BR,-5.795,-35.2094,83.05,83,20,10.36,few clouds
261,General Pico,AR,-35.6566,-63.7568,56.28,50,0,7.78,clear sky
262,Nadym,RU,65.5333,72.5167,32.0,98,100,7.54,overcast clouds
263,San Policarpo,PH,12.1791,125.5072,77.29,84,93,6.46,overcast clouds
264,Roebourne,AU,-20.7833,117.1333,81.07,34,5,4.99,clear sky
265,Port Shepstone,ZA,-30.7414,30.455,69.21,81,0,7.14,clear sky
266,Kenitra,MA,34.261,-6.5802,52.56,82,0,1.3,clear sky
267,Novyy Urengoy,RU,66.0833,76.6333,33.44,98,100,6.82,overcast clouds
268,Tamayo,DO,18.3947,-71.2029,82.11,78,20,14.97,few clouds
269,Brae,GB,60.3964,-1.353,42.35,75,34,12.12,scattered clouds
270,Fortuna,US,40.5982,-124.1573,49.93,89,75,11.5,light rain
271,Lakewood,US,39.7047,-105.0814,41.52,27,100,13.0,overcast clouds
272,Richards Bay,ZA,-28.783,32.0377,71.74,79,97,6.87,overcast clouds
273,Naze,JP,28.3667,129.4833,70.72,88,57,7.87,broken clouds
274,Santo Tomas,PH,14.1079,121.1414,79.56,84,95,2.33,overcast clouds
275,Sovetskaya Gavan,RU,48.9723,140.2878,30.63,70,27,4.43,scattered clouds
276,Coahuayana,MX,18.7333,-103.6833,84.22,60,100,6.2,overcast clouds
277,Olga,RU,43.7444,135.2892,42.8,53,97,1.59,overcast clouds
278,Moldovenesti,RO,46.5,23.65,38.79,52,0,8.05,clear sky
279,Elat,IL,29.5581,34.9482,64.24,42,0,9.22,clear sky
280,Touros,BR,-5.1989,-35.4608,79.12,78,6,8.84,clear sky
281,Tazmalt,DZ,36.3868,4.3989,52.74,89,100,3.2,overcast clouds
282,Rio Tercero,AR,-32.173,-64.1141,59.45,29,0,4.83,clear sky
283,Voka,EE,59.3997,27.5817,34.27,80,100,4.5,overcast clouds
284,Torbay,CA,47.6666,-52.7314,34.29,93,100,23.02,light snow
285,Bayan,CN,46.0833,127.4,43.81,35,65,5.3,broken clouds
286,Kaspiysk,RU,42.8816,47.6392,41.18,93,20,4.47,few clouds
287,Moose Factory,CA,51.2585,-80.6094,28.4,86,100,10.36,overcast clouds
288,Vernon,CA,50.2581,-119.2691,48.56,23,100,8.01,overcast clouds
289,Demba,CD,-5.51,22.2667,71.73,84,84,1.32,light rain
290,Bardiyah,LY,31.7561,25.0865,58.64,71,52,12.55,broken clouds
291,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,86,40,10.2,scattered clouds
292,San Cristobal,VE,7.7669,-72.225,78.98,57,82,2.95,broken clouds
293,Dukat,RU,62.55,155.55,7.65,85,100,6.46,overcast clouds
294,Kaeo,NZ,-35.1,173.7833,67.32,75,57,6.73,broken clouds
295,Valparaiso,CL,-33.0393,-71.6273,68.23,52,0,9.22,clear sky
296,Itoman,JP,26.1247,127.6694,75.22,80,20,4.61,few clouds
297,Vardo,NO,70.3705,31.1107,29.77,74,80,8.03,broken clouds
298,Port Blair,IN,11.6667,92.75,77.04,100,20,2.3,mist
299,Ipora,BR,-16.4419,-51.1178,77.18,67,76,2.95,broken clouds
300,Tazovskiy,RU,67.4667,78.7,26.65,96,100,4.54,overcast clouds
301,Honningsvag,NO,70.9821,25.9704,31.75,74,100,3.44,overcast clouds
302,Vila Velha,BR,-20.3297,-40.2925,82.35,86,0,8.05,clear sky
303,Moree,AU,-29.4667,149.85,62.62,67,0,8.05,clear sky
304,Kedrovka,RU,55.5333,86.05,32.88,89,5,1.66,clear sky
305,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,87,100,2.3,overcast clouds
306,Hofn,IS,64.2539,-15.2082,40.23,91,100,12.21,overcast clouds
