City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Yarada,IN,81.5,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
606,Gigmoto,PH,79.32,overcast clouds,13.7796,124.39,Cj's Travellers Inn
610,Pandan,PH,79.74,overcast clouds,14.0453,124.1694,Bonifacio Lodge
612,Marsh Harbour,BS,75.24,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
616,Gouyave,GD,78.4,scattered clouds,12.1646,-61.7296,Rumboat Retreat
619,Celestun,MX,81.5,overcast clouds,20.8667,-90.4,Posada Lilia
622,Innisfail,AU,80.73,light rain,-17.5333,146.0333,Moondarra Motel
624,Porto Murtinho,BR,73.85,broken clouds,-21.6989,-57.8825,Hotel Pantanal
625,Havelock,US,73.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
627,Sorong,ID,78.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
628,Kambam,ID,78.44,overcast clouds,5.2505,96.8629,Rumah Rizkina Olshops
630,Grand-Santi,GF,73.17,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
632,Gewane,ET,86.25,overcast clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
633,The Valley,AI,78.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
634,Rosamorada,MX,90.46,scattered clouds,22.1222,-105.2058,Hotel Gonzalez
635,Grand Gaube,MU,78.39,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
636,Deoria,IN,81.82,clear sky,26.5047,83.7872,RAJSHREE INN
639,Birao,CF,82.6,overcast clouds,10.2849,22.7882,
642,Gamba,GA,77.54,overcast clouds,-2.65,10.0,
643,Acapulco,MX,83.53,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
644,Potrero Del Llano,MX,94.06,overcast clouds,21.05,-97.6833,Hotel Juárez
645,Gizo,SB,83.8,scattered clouds,-8.103,156.8419,Imagination Island
650,Irituia,BR,75.07,moderate rain,-1.7711,-47.4381,Hotel Irituia
652,Pointe-Noire,CG,77.83,broken clouds,-4.7761,11.8635,Kactus Lodge
655,Sabang,ID,83.23,broken clouds,5.8933,95.3214,Hotel Citra
657,Bilma,NE,85.26,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
661,Batticaloa,LK,78.96,overcast clouds,7.7102,81.6924,Grand Star Guest House
665,Akyab,MM,80.35,scattered clouds,20.15,92.9,Hotel Memory
670,Sola,VU,83.23,moderate rain,-13.8833,167.55,Leumerus Bungalows
671,Harda,IN,86.59,overcast clouds,22.3333,77.1,OYO 67581 Samaroh Parisar
